abbreviation,company_name,sector,country
AVGO,Broadcom Inc.,Technology,United States
AVY,Avery Dennison Corporation,Consumer Cyclical,United States
AWK,"American Water Works Company, I",Utilities,United States
AXP,American Express Company,Financial Services,United States
AYI,"Acuity Brands, Inc.",Industrials,United States
AZO,"AutoZone, Inc.",Consumer Cyclical,United States
A,"Agilent Technologies, Inc.",Healthcare,United States
BAC,Bank of America Corporation,Financial Services,United States
BAX,Baxter International Inc.,Healthcare,United States
BA,Boeing Company (The),Industrials,United States
BBY,"Best Buy Co., Inc.",Consumer Cyclical,United States
BDX,"Becton, Dickinson and Company",Healthcare,United States
BEN,"Franklin Resources, Inc.",Financial Services,United States
BHF,"Brighthouse Financial, Inc.",Financial Services,United States
BIIB,Biogen Inc.,Healthcare,United States
BK,The Bank of New York Mellon Cor,Financial Services,United States
BLK,"BlackRock, Inc.",Financial Services,United States
BMY,Bristol-Myers Squibb Company,Healthcare,United States
BSX,Boston Scientific Corporation,Healthcare,United States
BWA,BorgWarner Inc.,Consumer Cyclical,United States
BXP,"BXP, Inc.",Real Estate,United States
CAG,"ConAgra Brands, Inc.",Consumer Defensive,United States
CAH,"Cardinal Health, Inc.",Healthcare,United States
CAT,"Caterpillar, Inc.",Industrials,United States
CA,Xtrackers California Municipal ,,
CBOE,"Cboe Global Markets, Inc.",Financial Services,United States
CB,Chubb Limited,Financial Services,Switzerland
CCI,Crown Castle Inc.,Real Estate,United States
CCL,Carnival Corporation,Consumer Cyclical,United States
CDNS,"Cadence Design Systems, Inc.",Technology,United States
